"region","Year","decile","rent_own_ratio"
1120,1985,3,0.117294062601354
1120,1985,4,0
1120,1985,5,0
1120,1985,6,0.0707724300413501
1120,1985,7,0
1120,1985,8,0
1120,1985,9,0
1120,1987,0,0.136768487478317
1120,1987,1,0
1120,1987,2,0.0576512216529354
1120,1987,3,0.0602540909693822
1120,1987,4,0
1120,1987,5,0
1120,1987,6,0.0601475760706888
1120,1987,7,0
1120,1987,8,0.0769455010633328
1120,1987,9,0
1120,1989,0,0
1120,1989,1,0.0693867337963665
1120,1989,2,0.0526530516816104
1120,1989,3,0.0611465321775881
1120,1989,4,0
1120,1989,5,0
1120,1989,6,0
1120,1989,7,0.0885143919256735
1120,1989,8,0.0712721129679874
1120,1989,9,0
1120,1991,0,0.405589510394405
1120,1991,1,0.0680264912247523
1120,1991,2,0.0554993868834025
1120,1991,3,0.0594100376965689
1120,1991,4,0.180736515320279
1120,1991,5,0.0564198519926675
1120,1991,6,0.057285321224118
1120,1991,7,0.067680602908061
1120,1991,8,0.0655609879397685
1120,1991,9,0
1120,1993,0,0.280765537082307
1120,1993,1,0
1120,1993,2,0.11368134501334
1120,1993,3,0.125828128964665
1120,1993,4,0.0611848568730536
1120,1993,5,0.0429492428698958
1120,1993,6,0.0889262585453075
1120,1993,7,0.0135102428295494
1120,1993,8,0.140669901187094
1120,1993,9,0
1120,1995,0,0.216720483039237
1120,1995,1,0
1120,1995,2,0.0522805537373505
1120,1995,3,0.0691169452406137
1120,1995,4,0.125259234784633
1120,1995,5,0.0714218070777617
1120,1995,6,0
1120,1995,7,0.109654571258851
1120,1995,8,0
1120,1995,9,0.124470681692422
1120,1997,0,0.0579772759691876
1120,1997,1,0
1120,1997,2,0.0585929148109426
1120,1997,3,0
1120,1997,4,0.296505202021505
1120,1997,5,0.0853717014370017
1120,1997,6,0
1120,1997,7,0
1120,1997,8,0
1120,1997,9,0
1120,1999,0,0.0748131566879903
1120,1999,1,0
1120,1999,2,0
1120,1999,3,0.0701847510686248
1120,1999,4,0.0820719828864476
1120,1999,5,0
1120,1999,6,0
1120,1999,7,0
1120,1999,8,0
1120,1999,9,0
1120,2001,0,0.181200490115162
1120,2001,1,0
1120,2001,2,0.118401593403715
1120,2001,3,0
1120,2001,4,0.0623668355986999
1120,2001,5,0
1120,2001,6,0
1120,2001,7,0.0734731836187668
1120,2001,8,0.0679665967595285
1120,2001,9,0
1120,2003,0,1.24733265579363
1120,2003,1,0.109554677175012
1120,2003,2,0.0693194608805601
1120,2003,3,0.0453225098394032
1120,2003,4,0.0494668985618818
1120,2003,5,0
1120,2003,6,0.0385997311348457
1120,2003,7,0.0514949817783043
1120,2003,8,0
1120,2003,9,0
1120,2005,0,0.141309575262421
1120,2005,1,0.111933443302199
1120,2005,2,0.0827920585227949
1120,2005,3,0.0490330430535095
1120,2005,4,0
1120,2005,5,0
1120,2005,6,0
1120,2005,7,0
1120,2005,8,0
1120,2005,9,0
1120,2007,0,0.081998146735476
1120,2007,1,0
1120,2007,2,0.0802057846283628
1120,2007,3,0
1120,2007,4,0
1120,2007,5,0
1120,2007,6,0
1120,2007,7,0
1120,2007,8,0
1120,2007,9,0.0723208298627383
1120,2009,0,0.243305505518774
1120,2009,1,0.110435065567994
1120,2009,2,0.0665335917931493
1120,2009,3,0
1120,2009,4,0.0616001859355894
1120,2009,5,0.0700373020256809
1120,2009,6,0.0614437761760374
1120,2009,7,0
1120,2009,8,0
1120,2009,9,0
1120,2011,0,0.0741472949313075
1120,2011,1,0.14693106395034
1120,2011,2,0
1120,2011,3,0
1120,2011,4,0
1120,2011,5,0
1120,2011,6,0
1120,2011,7,0.0474862828825247
1120,2011,8,0
1120,2011,9,0.0853072514854279
1120,2013,0,0.151981157169306
1120,2013,1,0.346235068627851
1120,2013,2,0.0772669990161582
1120,2013,3,0.0437335852840421
1120,2013,4,0
1120,2013,5,0
1120,2013,6,0
1120,2013,7,0.0632929986399869
1120,2013,8,0.0572840755125714
1120,2013,9,0
1600,1985,0,0.223335788077726
1600,1985,1,0.0619740222021388
1600,1985,2,0.155132442048173
1600,1985,3,0.0857902609645325
1600,1985,4,0
1600,1985,5,0
1600,1985,6,0.0285211111320848
1600,1985,7,0.0565856776247718
1600,1985,8,0.0275466329458389
1600,1985,9,0
1600,1987,0,0.18930457148102
1600,1987,1,0.0277192017946357
1600,1987,2,0.0575051255001095
1600,1987,3,0.0823966335776905
1600,1987,4,0.0292438689376499
1600,1987,5,0
1600,1987,6,0.0257989245112176
1600,1987,7,0
1600,1987,8,0.0248747168826857
1600,1987,9,0
1600,1989,0,0.320250521122425
1600,1989,1,0.0651674472462323
1600,1989,2,0.0487532239580678
1600,1989,3,0.0208870859060218
1600,1989,4,0.0688357063875897
1600,1989,5,0.0322003497710009
1600,1989,6,0.0229260269061394
1600,1989,7,0
1600,1989,8,0.0179764355224463
1600,1989,9,0.0215087716428282
1600,1991,0,0.231363009664488
1600,1991,1,0.0915456494412366
1600,1991,2,0.0225438237024091
1600,1991,3,0.0528245238815117
1600,1991,4,0.106539718266722
1600,1991,5,0.0510964127959054
1600,1991,6,0
1600,1991,7,0
1600,1991,8,0.0537727660944055
