"Year","region","name","state","cbsa","rp","tax_rate","vac_rate","interp_rp","interp_tax","interp_vac","net_yield","extrap_tax_1","net_yield_1","extrap_tax_0.5","net_yield_0.5"
2009,6280,"Pittsburgh","PA",38300,0.12062079022774,NA,0.088360162192372,0.12062079022774,14.8366,0.088360162192372,0.0780855894599496,14.8366,0.0780855894599496,14.8366,0.0780855894599496
2010,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.107020560012626,14.8744,0.0635688990680495,0.0689485684856179,14.8744,0.0689485684856179,14.8744,0.0689485684856179
2011,6280,"Pittsburgh","PA",38300,0.0934203297975111,NA,0.0387776359437269,0.0934203297975111,14.9122,0.0387776359437269,0.0591819220687166,14.9122,0.0591819220687166,14.9122,0.0591819220687166
2012,6280,"Pittsburgh","PA",38300,NA,14.95,NA,0.113968045492585,14.95,0.0357627406032005,0.0779063806080843,14.95,0.0779063806080843,14.95,0.0779063806080843
2013,6280,"Pittsburgh","PA",38300,0.134515761187659,NA,0.0327478452626741,0.134515761187659,14.95,0.0327478452626741,0.0967843231065152,14.9881871996081,0.0967461359069071,14.9690935998041,0.0967652295067112
2014,6280,"Pittsburgh","PA",38300,NA,NA,NA,0.134515761187659,14.95,0.0327478452626741,0.0967843231065152,15.0264719418392,0.096707851164676,14.9882115852639,0.0967461115212513
1985,6780,"Riverside","CA",40140,0.0725216061866669,5.11,0.102348566630683,0.0725216061866669,5.11,0.102348566630683,0.0459230518394989,5.11,0.0459230518394989,5.11,0.0459230518394989
1986,6780,"Riverside","CA",40140,NA,NA,NA,0.0699194357284323,5.11,0.0669997257464065,0.046049781975592,5.11,0.046049781975592,5.11,0.046049781975592
1987,6780,"Riverside","CA",40140,0.0673172652701977,NA,0.0316508848621301,0.0673172652701977,5.11,0.0316508848621301,0.0460047417325986,5.11,0.0460047417325986,5.11,0.0460047417325986
1988,6780,"Riverside","CA",40140,NA,NA,NA,0.0632448179552751,5.11,0.0158254424310651,0.0432571674592842,5.11,0.0432571674592842,5.11,0.0432571674592842
1989,6780,"Riverside","CA",40140,0.0591723706403525,NA,0,0.0591723706403525,5.11,0,0.0403892424668971,5.11,0.0403892424668971,5.11,0.0403892424668971
1990,6780,"Riverside","CA",40140,NA,5.11,NA,0.0589810829547552,5.11,0.0332251907486866,0.0383809047307331,5.11,0.0383809047307331,5.11,0.0383809047307331
1991,6780,"Riverside","CA",40140,0.0587897952691578,NA,0.0664503814973733,0.0587897952691578,5.08724666666667,0.0664503814973733,0.0364071887190251,5.08724666666667,0.0364071887190251,5.08724666666667,0.0364071887190251
1992,6780,"Riverside","CA",40140,NA,NA,NA,0.0630884273794027,5.06449333333333,0.0651098690271539,0.040255831200877,5.06449333333333,0.040255831200877,5.06449333333333,0.040255831200877
1993,6780,"Riverside","CA",40140,0.0673870594896475,NA,0.0637693565569345,0.0673870594896475,5.04174,0.0637693565569345,0.044115234332371,5.04174,0.044115234332371,5.04174,0.044115234332371
1994,6780,"Riverside","CA",40140,NA,NA,NA,0.0734409765950262,5.01898666666667,0.0584157483833107,0.0497971778374394,5.01898666666667,0.0497971778374394,5.01898666666667,0.0497971778374394
1995,6780,"Riverside","CA",40140,0.079494893700405,NA,0.0530621402096869,0.079494893700405,4.99623333333333,0.0530621402096869,0.0555396443369104,4.99623333333333,0.0555396443369104,4.99623333333333,0.0555396443369104
