"Year","region","name","state","cbsa","rp","WEIGHT","tax_rate","vac_rate","interp_rp","interp_WEIGHT","interp_tax","interp_vac","net_yield","extrap_tax_1","net_yield_1","extrap_tax_0.5","net_yield_0.5"
1993,5880,"Oklahoma City","OK",36420,0.129749397925734,222341.75,NA,0.03098054537076,0.129749397925734,222341.75,6.88136,0.03098054537076,0.100762452315335,6.88136,0.100762452315335,6.88136,0.100762452315335
1994,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.1276916898979,233437.295,6.90181333333333,0.0416050986420674,0.0976135192313295,6.90181333333333,0.0976135192313295,6.90181333333333,0.0976135192313295
1995,5880,"Oklahoma City","OK",36420,0.125633981870065,244532.84,NA,0.0522296519133747,0.125633981870065,244532.84,6.92226666666667,0.0522296519133747,0.094505411672934,6.92226666666667,0.094505411672934,6.92226666666667,0.094505411672934
1996,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.119991162158001,234834.35904535,6.94272,0.0691493630822412,0.0875958274828897,6.94272,0.0875958274828897,6.94272,0.0875958274828897
1997,5880,"Oklahoma City","OK",36420,0.114348342445938,225135.8780907,NA,0.0860690742511077,0.114348342445938,225135.8780907,6.96317333333333,0.0860690742511077,0.0808645330832084,6.96317333333333,0.0808645330832084,6.96317333333333,0.0808645330832084
1998,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.0939522876492334,229163.834143035,6.98362666666667,0.105226421392557,0.0617588205380771,6.98362666666667,0.0617588205380771,6.98362666666667,0.0617588205380771
1999,5880,"Oklahoma City","OK",36420,0.0735562328525289,233191.79019537,NA,0.124383768534007,0.0735562328525289,233191.79019537,7.00408,0.124383768534007,0.0433827652286061,7.00408,0.0433827652286061,7.00408,0.0433827652286061
2000,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.0749280518605406,230561.565236985,7.02453333333333,0.0880805864113771,0.0470236424996104,7.02453333333333,0.0470236424996104,7.02453333333333,0.0470236424996104
2001,5880,"Oklahoma City","OK",36420,0.0762998708685522,227931.3402786,NA,0.0517774042887473,0.0762998708685522,227931.3402786,7.04498666666667,0.0517774042887473,0.0507575188961739,7.04498666666667,0.0507575188961739,7.04498666666667,0.0507575188961739
2002,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.0868755771782815,219142.28584605,7.06544,0.0923575110507646,0.0568086398129333,7.06544,0.0568086398129333,7.06544,0.0568086398129333
2003,5880,"Oklahoma City","OK",36420,0.0974512834880108,210353.2314135,NA,0.132937617812782,0.0974512834880108,210353.2314135,7.08589333333333,0.132937617812782,0.0620583411998318,7.08589333333333,0.0620583411998318,7.08589333333333,0.0620583411998318
2004,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.10716557683339,217985.8894723,7.10634666666667,0.154399734635563,0.0677548379157744,7.10634666666667,0.0677548379157744,7.10634666666667,0.0677548379157744
2005,5880,"Oklahoma City","OK",36420,0.11687987017877,225618.5475311,7.1268,0.175861851458344,0.11687987017877,225618.5475311,7.1268,0.175861851458344,0.0730620017154566,7.1268,0.0730620017154566,7.1268,0.0730620017154566
2006,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.132450420342676,238428.72036525,7.33582857142857,0.114012176994832,0.0924833618342405,7.33582857142857,0.0924833618342405,7.33582857142857,0.0924833618342405
2007,5880,"Oklahoma City","OK",36420,0.148020970506581,251238.8931994,NA,0.05216250253132,0.148020970506581,251238.8931994,7.54485714285714,0.05216250253132,0.113703090634091,7.54485714285714,0.113703090634091,7.54485714285714,0.113703090634091
2008,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.134211678348235,264196.91889615,7.75388571428571,0.02608125126566,0.104541226937609,7.75388571428571,0.104541226937609,7.75388571428571,0.104541226937609
2009,5880,"Oklahoma City","OK",36420,0.12040238618989,277154.9445929,NA,0,0.12040238618989,277154.9445929,7.96291428571429,0,0.094706793699786,7.96291428571429,0.094706793699786,7.96291428571429,0.094706793699786
2010,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.111924310824062,277398.41921655,8.17194285714286,0.0131814872451441,0.0852042715881834,8.17194285714286,0.0852042715881834,8.17194285714286,0.0852042715881834
2011,5880,"Oklahoma City","OK",36420,0.103446235458233,277641.8938402,NA,0.0263629744902882,0.103446235458233,277641.8938402,8.38097142857143,0.0263629744902882,0.075910438228208,8.38097142857143,0.075910438228208,8.38097142857143,0.075910438228208
2012,5880,"Oklahoma City","OK",36420,NA,NA,8.59,NA,0.0953315257361742,267972.0664496,8.59,0.0663991010913186,0.0647607921661644,8.59,0.0647607921661644,8.59,0.0647607921661644
2013,5880,"Oklahoma City","OK",36420,0.0872168160141154,258302.239059,NA,0.106435227692349,0.0872168160141154,258302.239059,8.59,0.106435227692349,0.054426858474107,8.82223611814505,0.054194622355962,8.70611805907253,0.0543107404150345
2014,5880,"Oklahoma City","OK",36420,NA,NA,NA,NA,0.0872168160141154,258302.239059,8.59,0.106435227692349,0.054426858474107,9.06075088757894,0.0539561075865281,8.82380578096726,0.0541930526931398
1985,6160,"Philadelphia","PA",37964,0.0723713082049743,645973.12,13.52,0,0.0723713082049743,645973.12,13.52,0,0.0443030904709845,13.52,0.0443030904709845,13.52,0.0443030904709845
1986,6160,"Philadelphia","PA",37964,NA,NA,NA,NA,0.0696363344593169,639177.305,13.52,0.0388712027172874,0.0392220614386642,13.52,0.0392220614386642,13.52,0.0392220614386642
1987,6160,"Philadelphia","PA",37964,0.0669013607136594,632381.49,NA,0.0777424054345748,0.0669013607136594,632381.49,13.52,0.0777424054345748,0.0343395589102063,13.52,0.0343395589102063,13.52,0.0343395589102063
1988,6160,"Philadelphia","PA",37964,NA,NA,NA,NA,0.0625547409640324,641375.585,13.52,0.0388712027172874,0.0328669972436999,13.52,0.0328669972436999,13.52,0.0328669972436999
1989,6160,"Philadelphia","PA",37964,0.0582081212144053,650369.68,NA,0,0.0582081212144053,650369.68,13.52,0,0.0310789227778902,13.52,0.0310789227778902,13.52,0.0310789227778902
1990,6160,"Philadelphia","PA",37964,NA,NA,13.52,NA,0.0610467407475061,630440.025,13.52,0.0489773708378295,0.0309376639333351,13.52,0.0309376639333351,13.52,0.0309376639333351
1991,6160,"Philadelphia","PA",37964,0.063885360280607,610510.37,NA,0.0979547416756591,0.063885360280607,610510.37,13.5976933333333,0.0979547416756591,0.0304590906412826,13.5976933333333,0.0304590906412826,13.5976933333333,0.0304590906412826
1992,6160,"Philadelphia","PA",37964,NA,NA,NA,NA,0.0641182394627237,611189.84,13.6753866666667,0.0694177551526458,0.0322859668754683,13.6753866666667,0.0322859668754683,13.6753866666667,0.0322859668754683
1993,6160,"Philadelphia","PA",37964,0.0643511186448404,611869.31,NA,0.0408807686296324,0.0643511186448404,611869.31,13.75308,0.0408807686296324,0.0341252532339644,13.75308,0.0341252532339644,13.75308,0.0341252532339644
1994,6160,"Philadelphia","PA",37964,NA,NA,NA,NA,0.0678654956868768,724709.995,13.8307733333333,0.0333787266450652,0.037670163152213,13.8307733333333,0.037670163152213,13.8307733333333,0.037670163152213
1995,6160,"Philadelphia","PA",37964,0.0713798727289132,837550.68,NA,0.0258766846604979,0.0713798727289132,837550.68,13.9084666666667,0.0258766846604979,0.0412643070791534,13.9084666666667,0.0412643070791534,13.9084666666667,0.0412643070791534
1996,6160,"Philadelphia","PA",37964,NA,NA,NA,NA,0.0664679277094957,757214.40549535,13.98616,0.0412172597757526,0.0357669554525993,13.98616,0.0357669554525993,13.98616,0.0357669554525993
1997,6160,"Philadelphia","PA",37964,0.0615559826900781,676878.1309907,NA,0.0565578348910074,0.0615559826900781,676878.1309907,14.0638533333333,0.0565578348910074,0.0304103162657507,14.0638533333333,0.0304103162657507,14.0638533333333,0.0304103162657507
1998,6160,"Philadelphia","PA",37964,NA,NA,NA,NA,0.0733498078157297,808781.116944525,14.1415466666667,0.0686774948620775,0.0398916728350562,14.1415466666667,0.0398916728350562,14.1415466666667,0.0398916728350562
1999,6160,"Philadelphia","PA",37964,0.0851436329413812,940684.10289835,NA,0.0807971548331475,0.0851436329413812,940684.10289835,14.21924,0.0807971548331475,0.0491061085699266,14.21924,0.0491061085699266,14.21924,0.0491061085699266
2000,6160,"Philadelphia","PA",37964,NA,NA,NA,NA,0.08074379797302,986007.608487885,14.2969333333333,0.0692024873266273,0.0461263418089321,14.2969333333333,0.0461263418089321,14.2969333333333,0.0461263418089321
2001,6160,"Philadelphia","PA",37964,0.0763439630046588,1031331.11407742,NA,0.057607819820107,0.0763439630046588,1031331.11407742,14.3746266666667,0.057607819820107,0.0430513103399358,14.3746266666667,0.0430513103399358,14.3746266666667,0.0430513103399358
2002,6160,"Philadelphia","PA",37964,NA,NA,NA,NA,0.0773922522470323,1038423.96444571,14.45232,0.0608887798402735,0.0436589329179393,14.45232,0.0436589329179393,14.45232,0.0436589329179393
2003,6160,"Philadelphia","PA",37964,0.0784405414894057,1045516.81481399,NA,0.0641697398604399,0.0784405414894057,1045516.81481399,14.5300133333333,0.0641697398604399,0.0442601327695447,14.5300133333333,0.0442601327695447,14.5300133333333,0.0442601327695447
